Date,Open,High,Low,Close,Adj Close,Volume
2023-07-19,614.000000,625.299988,610.150024,620.599976,616.768433,11128348
2023-07-20,622.650024,623.599976,616.200012,621.650024,617.812012,7834891
2023-07-21,621.000000,631.000000,617.700012,625.750000,621.886719,12914610
2023-07-24,627.950012,634.450012,626.250000,629.250000,625.365051,12247844
2023-07-25,636.000000,642.500000,633.349976,639.450012,635.502136,13988137
2023-07-26,640.000000,665.400024,639.000000,641.099976,637.141907,31673714
2023-07-27,647.000000,648.450012,636.750000,643.700012,639.725891,11696851
2023-07-28,646.000000,646.000000,631.799988,635.299988,633.345520,9299530
2023-07-31,640.200012,645.549988,635.900024,644.299988,642.317871,7502361
2023-08-01,645.000000,652.900024,642.000000,643.650024,641.669861,8924219
2023-08-02,644.000000,644.299988,616.450012,622.650024,620.734497,15762687
2023-08-03,623.000000,626.450012,614.150024,618.950012,617.045837,11458920
2023-08-04,624.849976,625.000000,613.299988,615.000000,613.107971,11806739
2023-08-07,619.000000,619.000000,608.500000,609.500000,607.624939,9893466
2023-08-08,612.549988,614.750000,605.250000,607.299988,605.431641,8863640
2023-08-09,610.599976,624.000000,605.349976,622.549988,620.634766,13362350
2023-08-10,623.000000,628.299988,598.000000,618.250000,616.348022,53116980
2023-08-11,619.750000,624.750000,610.000000,611.799988,609.917847,9347707
2023-08-14,612.000000,612.000000,594.500000,607.349976,605.481506,14492164
2023-08-16,606.700012,621.349976,597.299988,618.750000,616.846436,14562074
2023-08-17,620.000000,622.000000,611.000000,613.750000,611.861816,12119293
2023-08-18,612.799988,620.099976,610.900024,615.799988,613.905518,11190760
2023-08-21,617.000000,623.299988,614.799988,620.500000,618.591064,9580365
2023-08-22,621.799988,626.500000,618.599976,620.200012,618.291992,8534395
2023-08-23,622.750000,622.750000,613.150024,613.900024,612.011414,8248333
2023-08-24,618.000000,619.000000,609.650024,610.950012,609.070435,7096025
2023-08-25,610.849976,616.700012,593.299988,605.099976,603.238403,16075509
2023-08-28,605.400024,608.500000,601.549988,602.400024,600.546753,7479254
2023-08-29,603.599976,610.500000,603.599976,607.150024,605.282166,6956667
2023-08-30,611.200012,612.900024,605.000000,605.549988,603.687073,5676055
2023-08-31,608.799988,609.650024,599.049988,601.000000,599.151062,10544271
2023-09-01,604.200012,614.900024,601.900024,611.200012,609.319702,10297492
2023-09-04,615.599976,615.599976,606.000000,609.000000,607.126465,8392665
2023-09-05,610.000000,618.900024,608.049988,611.150024,609.269836,8560651
2023-09-06,611.150024,612.549988,605.599976,610.250000,608.372620,6520064
2023-09-07,610.900024,616.500000,609.049988,614.900024,613.008301,6520293
2023-09-08,617.950012,628.900024,614.200012,627.250000,625.320313,16190749
2023-09-11,634.650024,635.400024,630.500000,634.849976,632.896912,8780510
