Date,Open,High,Low,Close,Adj Close,Volume
2023-10-20,249.289993,252.210007,245.460007,245.710007,243.085663,350100
2023-10-23,244.100006,246.649994,242.759995,244.559998,241.947937,326300
2023-10-24,248.539993,250.050003,246.779999,247.000000,244.361862,435000
2023-10-25,246.889999,249.229996,246.889999,247.169998,244.530060,405400
2023-10-26,240.460007,252.229996,237.139999,247.229996,244.589432,702300
2023-10-27,248.020004,250.660004,246.479996,248.339996,245.687561,513600
2023-10-30,250.470001,253.500000,249.289993,252.660004,249.961426,264000
2023-10-31,252.789993,255.789993,251.460007,254.380005,251.663055,344800
2023-11-01,254.410004,262.760010,253.720001,262.049988,259.251129,456300
2023-11-02,264.269989,265.970001,263.700012,265.040009,262.209198,427100
2023-11-03,267.160004,270.010010,264.649994,265.100006,262.268585,305600
2023-11-06,266.149994,267.089996,264.859985,265.880005,263.040222,319300
2023-11-07,265.350006,267.149994,264.660004,265.410004,262.575256,323500
2023-11-08,264.929993,265.989990,262.209991,265.000000,262.169647,363900
2023-11-09,266.519989,266.519989,264.410004,264.470001,261.645294,233200
2023-11-10,265.320007,267.510010,264.399994,267.209991,264.356018,128400
2023-11-13,267.179993,268.239990,266.070007,267.600006,264.741882,131000
2023-11-14,270.529999,274.470001,270.529999,272.869995,269.955566,200600
2023-11-15,273.000000,275.980011,272.000000,272.739990,269.826935,239500
2023-11-16,271.609985,272.079987,268.000000,271.839996,269.926270,211100
2023-11-17,273.369995,275.049988,272.329987,272.420013,270.502197,242800
2023-11-20,271.910004,272.450012,269.510010,269.839996,267.940338,228000
2023-11-21,269.700012,271.070007,267.260010,267.429993,265.547302,241300
2023-11-22,267.859985,269.079987,265.700012,267.809998,265.924652,199700
2023-11-24,267.899994,268.510010,266.750000,268.000000,266.113281,81300
2023-11-27,267.630005,271.670013,265.890015,271.559998,269.648224,314700
2023-11-28,270.739990,272.369995,267.690002,269.230011,267.334656,355600
2023-11-29,270.040009,271.619995,269.670013,270.250000,268.347473,297000
2023-11-30,271.209991,275.540009,270.019989,275.260010,273.322174,870100
2023-12-01,276.399994,280.329987,275.589996,278.910004,276.946503,287700
2023-12-04,277.320007,280.790009,276.579987,277.529999,275.576202,270900
2023-12-05,276.470001,276.470001,269.290009,269.670013,267.771576,293500
2023-12-06,269.329987,271.200012,265.399994,267.049988,265.169983,272600
2023-12-07,267.000000,267.630005,264.679993,267.630005,265.745911,178400
2023-12-08,266.890015,269.000000,264.519989,264.640015,262.776947,173200
2023-12-11,264.649994,270.130005,261.769989,269.950012,268.049561,292700
2023-12-12,270.000000,270.000000,265.579987,266.100006,264.226685,230100
2023-12-13,266.070007,269.220001,263.799988,268.920013,267.026825,371800
2023-12-14,271.049988,273.119995,268.350006,269.869995,267.970123,389000
2023-12-15,270.160004,275.239990,269.399994,270.519989,268.615570,637400
2023-12-18,274.609985,277.709991,273.019989,273.130005,271.207184,265800
2023-12-19,273.959991,277.670013,273.269989,277.130005,275.179016,262100
2023-12-20,275.510010,279.410004,273.799988,273.820007,271.892303,216000
2023-12-21,275.399994,279.839996,275.000000,279.010010,277.045807,266300
2023-12-22,280.200012,284.290009,279.000000,282.679993,280.689941,227900
2023-12-26,282.510010,284.010010,281.600006,282.750000,280.759460,103500
2023-12-27,282.260010,284.329987,282.149994,282.910004,280.918335,112300
2023-12-28,282.489990,282.709991,280.440002,281.250000,279.270020,105200
2023-12-29,281.140015,282.100006,278.489990,279.679993,277.711060,188600
2024-01-02,278.769989,282.489990,278.179993,281.429993,279.448730,184300
2024-01-03,279.369995,282.260010,278.500000,279.130005,277.164948,185200
2024-01-04,279.839996,281.649994,275.239990,275.609985,273.669708,217300
2024-01-05,274.130005,278.459991,273.880005,277.640015,275.685455,352800
2024-01-08,277.989990,284.859985,274.559998,284.359985,282.358124,236800
2024-01-09,282.589996,282.589996,276.820007,277.489990,275.536469,190600
2024-01-10,276.559998,277.760010,275.010010,277.000000,275.049957,189300
2024-01-11,277.489990,280.920013,276.399994,280.820007,278.843048,229900
2024-01-12,281.750000,282.829987,278.769989,281.970001,279.984955,133800
2024-01-16,281.079987,281.480011,278.589996,278.589996,276.628754,243800
2024-01-17,275.959991,280.089996,275.000000,278.850006,276.886932,130100
2024-01-18,280.670013,281.510010,279.200012,280.290009,278.316803,166800
2024-01-19,280.920013,280.920013,276.700012,278.839996,276.876984,164700
2024-01-22,278.470001,283.399994,278.130005,283.369995,281.375092,231700
2024-01-23,285.000000,286.690002,280.769989,281.579987,279.597656,212300
2024-01-24,283.109985,284.029999,280.019989,280.980011,279.001953,163900
2024-01-25,281.489990,283.820007,280.000000,280.410004,278.435913,171400
2024-01-26,281.359985,283.720001,279.549988,281.290009,279.309753,131200
2024-01-29,281.760010,284.920013,279.859985,284.839996,282.834747,165600
2024-01-30,283.170013,291.049988,283.170013,290.750000,288.703156,153000
2024-01-31,291.190002,291.450012,283.829987,285.420013,283.410675,299900
2024-02-01,286.390015,290.660004,285.899994,289.600006,287.561218,213900
2024-02-02,289.100006,292.239990,286.730011,290.140015,288.097443,172000
2024-02-05,287.739990,289.200012,285.140015,288.640015,286.608002,128100
2024-02-06,288.519989,291.690002,287.549988,291.390015,289.338623,149900
2024-02-07,292.730011,298.600006,291.910004,298.260010,296.160278,201100
2024-02-08,297.700012,298.549988,296.859985,297.429993,295.336121,187800
2024-02-09,298.510010,299.750000,297.600006,299.609985,297.500763,205200
2024-02-12,300.000000,302.890015,298.100006,298.470001,296.368774,246600
2024-02-13,293.079987,294.679993,286.250000,289.070007,287.034973,255500
2024-02-14,290.709991,295.269989,288.570007,294.649994,292.575684,290900
2024-02-15,319.880005,332.660004,318.140015,332.339996,330.000336,600600
2024-02-16,331.399994,333.329987,326.399994,326.429993,324.131927,395100
2024-02-20,323.359985,325.820007,317.320007,317.570007,315.334320,423500
2024-02-21,318.019989,319.029999,313.420013,316.269989,314.043488,310000
2024-02-22,316.269989,320.200012,316.269989,319.299988,317.052155,215100
2024-02-23,320.700012,325.119995,319.190002,324.119995,321.838226,226200
2024-02-26,322.890015,327.809998,322.429993,325.589996,323.297852,177800
2024-02-27,325.040009,326.380005,322.100006,322.899994,320.626801,255000
2024-02-28,320.500000,324.160004,318.170013,321.459991,319.196930,249300
2024-02-29,321.799988,322.369995,317.829987,321.220001,318.958649,744800
2024-03-01,322.959991,324.950012,319.880005,320.179993,317.925934,258500
2024-03-04,322.079987,325.170013,320.779999,321.769989,319.504730,250900
