Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,69.099998,70.779999,68.379997,70.709999,70.709999,4545500
2023-07-19,70.550003,71.160004,70.160004,70.540001,70.540001,4544600
2023-07-20,70.150002,71.080002,69.940002,71.010002,71.010002,2783400
2023-07-21,70.699997,70.720001,70.129997,70.449997,70.449997,1902400
2023-07-24,70.360001,70.760002,69.779999,70.059998,70.059998,1878300
2023-07-25,70.720001,70.959999,70.300003,70.500000,70.500000,1730700
2023-07-26,70.019997,71.389999,70.019997,70.809998,70.809998,2175900
2023-07-27,70.379997,70.540001,68.260002,68.269997,68.269997,1541600
2023-07-28,68.430000,68.500000,67.889999,68.089996,68.089996,1508000
2023-07-31,68.599998,69.029999,68.040001,68.279999,68.279999,903900
2023-08-01,68.370003,68.370003,67.540001,67.550003,67.550003,1165500
2023-08-02,67.050003,67.059998,66.150002,66.680000,66.680000,1368600
2023-08-03,66.000000,66.739998,65.900002,66.279999,66.279999,1216900
2023-08-04,67.120003,67.419998,66.720001,66.830002,66.830002,1378300
2023-08-07,66.839996,67.360001,66.750000,66.959999,66.959999,1359900
2023-08-08,66.620003,67.029999,66.169998,66.519997,66.519997,950600
2023-08-09,66.669998,67.120003,66.580002,66.830002,66.830002,1002400
2023-08-10,66.889999,67.540001,66.470001,66.570000,66.570000,1128700
2023-08-11,66.250000,66.669998,66.050003,66.320000,66.320000,932700
2023-08-14,65.870003,65.879997,64.730003,65.099998,65.099998,1328500
2023-08-15,64.610001,65.040001,63.740002,63.860001,63.860001,2022500
2023-08-16,64.059998,64.349998,63.500000,63.570000,63.570000,1949500
2023-08-17,63.959999,63.959999,63.240002,63.240002,63.240002,1385800
2023-08-18,63.000000,63.070000,62.439999,62.849998,62.849998,2737300
2023-08-21,63.290001,63.820000,62.889999,63.660000,63.660000,2134600
2023-08-22,63.419998,63.869999,62.770000,62.959999,62.959999,2132200
2023-08-23,63.500000,63.880001,63.049999,63.830002,63.830002,1791600
2023-08-24,63.380001,63.549999,63.049999,63.049999,63.049999,1176400
2023-08-25,63.000000,63.360001,62.389999,62.730000,62.730000,1672000
2023-08-28,63.209999,63.529999,62.869999,63.480000,63.480000,1242700
2023-08-29,63.500000,63.770000,63.020000,63.619999,63.619999,1770500
2023-08-30,63.560001,63.980000,63.060001,63.680000,63.680000,1021300
2023-08-31,62.990002,63.180000,62.279999,62.310001,62.310001,2659700
2023-09-01,63.150002,63.720001,62.759998,62.799999,62.799999,1686400
2023-09-05,62.939999,63.169998,62.290001,62.320000,62.320000,931300
2023-09-06,62.959999,63.340000,62.900002,62.950001,62.950001,1432600
2023-09-07,63.259998,63.419998,63.029999,63.160000,63.160000,1664000
2023-09-08,63.740002,64.669998,63.650002,64.360001,64.360001,1732000
2023-09-11,64.820000,65.470001,64.709999,65.220001,65.220001,1521400
2023-09-12,65.150002,65.730003,65.059998,65.559998,65.559998,1080300
2023-09-13,65.639999,66.019997,65.389999,65.519997,65.519997,1214800
2023-09-14,65.940002,66.209999,65.449997,66.199997,66.199997,1068200
2023-09-15,66.139999,66.199997,64.930000,65.019997,65.019997,3159000
2023-09-18,64.470001,64.910004,63.259998,63.400002,63.400002,2827100
2023-09-19,63.500000,63.599998,62.720001,62.939999,62.939999,1808800
2023-09-20,61.779999,61.970001,59.160000,59.160000,59.160000,9679900
2023-09-21,59.610001,59.740002,58.700001,59.389999,59.389999,7100500
2023-09-22,59.230000,59.590000,58.680000,58.869999,58.869999,2933200
2023-09-25,58.970001,58.990002,58.490002,58.630001,58.630001,2999700
2023-09-26,58.750000,59.139999,57.950001,58.209999,58.209999,2722000
2023-09-27,58.200001,58.660000,58.070000,58.439999,58.439999,2553000
2023-09-28,58.490002,59.330002,58.419998,59.130001,59.130001,2111200
2023-09-29,59.419998,59.580002,58.880001,59.009998,59.009998,2295800
2023-10-02,59.099998,59.110001,57.599998,57.919998,57.919998,2030500
2023-10-03,57.639999,58.040001,57.310001,57.520000,57.520000,2255500
2023-10-04,58.520000,59.580002,58.419998,59.259998,59.259998,3022100
2023-10-05,59.180000,59.470001,58.880001,59.279999,59.279999,1365400
2023-10-06,58.730000,59.470001,58.619999,59.290001,59.290001,964500
2023-10-09,58.250000,58.900002,58.139999,58.869999,58.869999,1159900
2023-10-10,59.250000,59.459999,58.980000,59.020000,59.020000,1691300
2023-10-11,59.160000,59.799999,58.689999,59.119999,59.119999,1772200
2023-10-12,59.330002,59.799999,58.680000,58.799999,58.799999,1619200
2023-10-13,58.470001,58.889999,58.099998,58.200001,58.200001,2118500
2023-10-16,59.090000,59.700001,58.720001,59.009998,59.009998,3762600
2023-10-17,58.970001,59.090000,58.029999,58.240002,58.240002,3461600
2023-10-18,57.810001,58.020000,57.180000,57.400002,57.400002,3645700
2023-10-19,57.669998,57.869999,56.910000,57.250000,57.250000,2057700
2023-10-20,57.459999,57.770000,57.209999,57.270000,57.270000,1845000
2023-10-23,57.049999,57.270000,56.580002,56.650002,56.650002,2187000
2023-10-24,56.560001,57.139999,56.459999,57.060001,57.060001,2033000
2023-10-25,56.520000,57.610001,56.430000,57.299999,57.299999,2061900
2023-10-26,56.220001,56.959999,56.150002,56.820000,56.820000,3005400
2023-10-27,57.040001,57.160000,56.290001,56.330002,56.330002,2304400
2023-10-30,56.930000,57.360001,56.919998,57.299999,57.299999,1554900
2023-10-31,56.880001,56.930000,56.049999,56.549999,56.549999,1676000
2023-11-01,56.750000,56.840000,56.290001,56.540001,56.540001,2262900
2023-11-02,56.860001,57.959999,56.660000,57.830002,57.830002,1642100
2023-11-03,58.000000,58.639999,57.900002,57.900002,57.900002,1664900
2023-11-06,57.919998,58.110001,56.880001,57.279999,57.279999,1939900
2023-11-07,57.070000,57.169998,55.950001,56.349998,56.349998,3677900
2023-11-08,56.700001,56.820000,56.299999,56.610001,56.610001,1750300
2023-11-09,57.000000,57.029999,56.160000,56.169998,56.169998,1637700
2023-11-10,56.560001,57.389999,56.450001,57.320000,57.320000,2268300
2023-11-13,57.200001,57.430000,57.009998,57.180000,57.180000,1861300
2023-11-14,58.369999,59.060001,58.270000,58.700001,58.700001,2432100
2023-11-15,58.669998,58.970001,58.490002,58.520000,58.520000,1563400
2023-11-16,58.459999,58.610001,57.610001,57.790001,57.790001,1296300
2023-11-17,58.099998,58.270000,57.619999,58.139999,58.139999,1019800
2023-11-20,57.919998,58.410000,57.740002,58.270000,58.270000,1174900
2023-11-21,58.660000,59.270000,58.529999,58.849998,58.849998,2091100
2023-11-22,58.939999,59.099998,58.610001,58.639999,58.639999,983000
2023-11-24,59.169998,59.529999,58.970001,59.500000,59.500000,736300
2023-11-27,59.250000,59.480000,58.860001,58.889999,58.889999,1360700
2023-11-28,59.000000,59.730000,58.770000,59.349998,59.349998,2119200
2023-11-29,59.860001,60.799999,59.740002,60.549999,60.549999,3120800
2023-11-30,60.310001,60.820000,59.810001,60.040001,60.040001,2394500
2023-12-01,59.500000,60.830002,59.270000,60.709999,60.709999,1818800
2023-12-04,62.090000,63.279999,62.049999,63.259998,63.259998,4776300
2023-12-05,63.150002,63.889999,62.730000,62.880001,62.880001,2643200
2023-12-06,62.889999,63.220001,62.430000,62.730000,62.730000,2928300
2023-12-07,63.380001,63.779999,62.869999,63.360001,63.360001,1766200
2023-12-08,63.779999,64.610001,63.700001,64.540001,64.540001,2388600
2023-12-11,64.120003,65.349998,64.120003,65.089996,65.089996,3934200
2023-12-12,64.500000,64.830002,64.400002,64.650002,64.650002,2089300
2023-12-13,64.610001,65.919998,64.180000,65.919998,65.919998,2317300
2023-12-14,66.660004,67.379997,66.500000,66.879997,66.879997,4397900
2023-12-15,66.599998,66.750000,66.010002,66.080002,66.080002,2445500
2023-12-18,66.080002,66.260002,65.769997,66.129997,66.129997,1448700
2023-12-19,66.000000,66.739998,65.739998,66.190002,66.190002,1942900
2023-12-20,66.059998,66.809998,65.570000,65.580002,65.580002,1744600
2023-12-21,66.459999,66.800003,66.099998,66.620003,66.620003,1885300
2023-12-22,66.360001,67.160004,66.120003,67.000000,67.000000,1601800
2023-12-26,67.120003,67.180000,66.519997,66.720001,66.720001,1412900
2023-12-27,66.970001,67.440002,66.800003,67.040001,67.040001,1789900
2023-12-28,66.830002,67.360001,66.709999,67.220001,67.220001,1880600
2023-12-29,67.220001,67.250000,66.730003,67.110001,67.110001,796500
2024-01-02,66.440002,67.139999,66.400002,66.620003,66.620003,1580200
2024-01-03,66.199997,66.629997,65.889999,65.910004,65.910004,1534500
2024-01-04,66.400002,66.589996,66.139999,66.269997,66.269997,917800
2024-01-05,66.199997,66.260002,65.370003,65.570000,65.570000,1485800
2024-01-08,65.379997,65.930000,64.889999,65.919998,65.919998,1993100
2024-01-09,65.099998,65.379997,64.730003,64.820000,64.820000,1683000
2024-01-10,65.209999,65.940002,65.150002,65.349998,65.349998,1956600
2024-01-11,65.150002,65.449997,64.739998,65.379997,65.379997,1669200
2024-01-12,65.309998,65.989998,65.239998,65.580002,65.580002,1986900
2024-01-16,65.989998,65.989998,61.130001,61.180000,61.180000,9197700
2024-01-17,59.610001,59.610001,55.439999,55.590000,55.590000,15817200
2024-01-18,57.619999,57.919998,56.279999,56.520000,56.520000,13162000
2024-01-19,56.500000,56.500000,55.110001,55.840000,55.840000,7124500
2024-01-22,56.750000,57.040001,55.750000,56.099998,56.099998,3518200
2024-01-23,55.000000,55.820000,53.470001,53.970001,53.970001,9515100
2024-01-24,55.410000,56.099998,54.540001,54.799999,54.799999,7521300
2024-01-25,54.650002,56.540001,54.610001,56.430000,56.430000,6113800
2024-01-26,57.040001,57.290001,56.299999,56.610001,56.610001,4716900
2024-01-29,56.590000,56.750000,55.020000,55.360001,55.360001,5148300
2024-01-30,55.230000,55.820000,54.700001,55.720001,55.720001,3700100
2024-01-31,55.770000,57.060001,55.470001,55.490002,55.490002,3203600
2024-02-01,55.830002,57.400002,55.799999,56.660000,56.660000,4239400
2024-02-02,55.860001,55.889999,54.650002,54.799999,54.799999,3459700
2024-02-05,54.000000,55.759998,54.000000,55.470001,55.470001,4601000
2024-02-06,55.450001,56.119999,55.349998,56.049999,56.049999,3319400
2024-02-07,55.619999,55.869999,55.040001,55.630001,55.630001,2304600
2024-02-08,54.770000,54.950001,53.520000,53.619999,53.619999,4547000
2024-02-09,53.880001,54.009998,53.410000,53.750000,53.750000,3722900
2024-02-12,53.230000,53.259998,52.599998,53.000000,53.000000,3111500
2024-02-13,52.639999,52.650002,52.160000,52.360001,52.360001,4612100
2024-02-14,52.770000,52.939999,52.310001,52.779999,52.779999,3169200
2024-02-15,53.560001,54.500000,53.509998,54.189999,54.189999,2832700
2024-02-16,54.189999,54.220001,53.360001,53.799999,53.799999,2569000
2024-02-20,55.700001,56.779999,54.790001,54.790001,54.790001,8034500
2024-02-21,54.540001,54.669998,53.799999,54.099998,54.099998,4958200
2024-02-22,54.209999,54.849998,54.060001,54.400002,54.400002,5754100
2024-02-23,54.160000,54.650002,53.689999,54.000000,54.000000,2361700
2024-02-26,53.930000,54.209999,53.340000,53.830002,53.830002,3153300
